Ticker,MarketCap,TrailingPE,ForwardPE,TrailingEPS,ForwardEPS,TotalRevenue,DividendYield,Beta,Sector,Industry,FullTimeEmployees,Sector_Encoded,Industry_Encoded
INDNIPPON.BO,12712095744.0,16.804726,,33.44,,8067500032.0,2.22,0.732,Consumer Cyclical,Auto Parts,590.0,3,10
INDOCO.BO,18296090624.0,,27.441216,-1.59,7.23,17243471872.0,0.76,0.398,Healthcare,Drug Manufacturers - Specialty & Generic,6000.0,7,32
INDORAMA.BO,8820397056.0,,,-3.45,,39645999104.0,,0.687,Consumer Cyclical,Textile Manufacturing,1443.0,3,91
INDOSOLAR.BO,14034344960.0,,,,,,,,Unknown,Unknown,,11,97
INDOTECH.BO,21465675776.0,31.346928,,64.48,,5811996160.0,,0.187,Industrials,Electrical Equipment & Parts,,8,34
INDOTHAI.BO,22644664320.0,149.2009,,13.39,,300675008.0,0.08,1.873,Financial Services,Capital Markets,57.0,6,20
INDOWIND.BO,2098184704.0,33.2449,,0.49,,323608992.0,,0.556,Utilities,Utilities - Renewable,69.0,12,101
INDRAMEDCO.BO,32777680896.0,21.695995,17.788557,16.48,,13373400064.0,1.26,0.882,Healthcare,Medical Care Facilities,2977.0,7,58
INDSWFTLAB.BO,5078518784.0,1.434652,,59.91,,4634885120.0,,0.366,Healthcare,Drug Manufacturers - Specialty & Generic,47.0,7,32
INDSWFTLTD.BO,775638464.0,1.2043734,,11.89,,5057830912.0,,-0.167,Healthcare,Drug Manufacturers - Specialty & Generic,1054.0,7,32
INDTERRAIN.BO,1593757440.0,,3.5571427,-8.84,9.8,3652300032.0,,0.98,Consumer Cyclical,Apparel Manufacturing,273.0,3,6
INDUSINDBK.BO,771340435456.0,10.627015,10.761153,93.06,91.9,252749086720.0,1.67,1.472,Financial Services,Banks - Regional,45637.0,6,11
INFY.BO,6992831709184.0,24.510672,23.471413,68.87,,19111999488.0,2.43,0.636,Technology,Information Technology Services,323379.0,10,47
INGERRAND.BO,100102127616.0,38.021584,73.52191,83.4,43.13,13288041472.0,2.37,0.057,Industrials,Specialty Industrial Machinery,539.0,8,87
INSECTICID.BO,16725414912.0,12.452339,10.401737,46.16,55.26,19135311872.0,0.87,0.595,Basic Materials,Agricultural Inputs,1615.0,1,2
INTENTECH.BO,2237552128.0,13.522727,,7.04,,1456113024.0,1.05,1.212,Technology,Software - Infrastructure,509.0,10,83
INVENTURE.BO,1575000064.0,12.5,,0.12,,564086976.0,,0.528,Financial Services,Capital Markets,106.0,6,20
IOB.BO,823010525184.0,26.54878,,1.64,,131098402816.0,,0.729,Financial Services,Banks - Regional,21475.0,6,11
IOC.BO,1603462234112.0,14.70855,5.446043,7.72,20.85,7614862721024.0,13.21,0.852,Energy,Oil & Gas Refining & Marketing,30321.0,5,66
IOLCP.BO,17905176576.0,18.38457,10.099338,16.59,,20553500672.0,1.31,0.926,Healthcare,Drug Manufacturers - Specialty & Generic,2777.0,7,32
IONEXCHANG.BO,61434265600.0,27.249182,9.610577,18.34,52.0,26843592704.0,0.3,0.762,Industrials,Pollution & Treatment Controls,2389.0,8,72
