,Security Id,Security Name,Group,Industry
2587,NEERAJ,Neeraj Paper Marketing Ltd,XT,Comm.Trading  &amp; Distribution
2588,SIENERGY,Sinner Energy India Ltd,XT,Comm.Trading  &amp; Distribution
2589,TEJNAKSH,Tejnaksh Healthcare Ltd,M ,Healthcare Facilities
2591,COFFEEDAY,Coffee Day Enterprises Ltd,B ,Restaurants
2594,INDIGO,InterGlobe Aviation Ltd,A ,Airlines
2596,SHK,S H Kelkar and Company Ltd,B ,Personal Products
2600,GEETANJ,Geetanjali Credit and Capital Ltd,XT,Finance (including NBFCs)
2603,RAJKOTINV,Rajkot Investment Trust Ltd,XT,Finance (including NBFCs)
2604,ADCON,Adcon Capital Services Ltd,XT,Finance (including NBFCs)
2606,UDAYJEW,Uday Jewellery Industries Ltd,XT,Distributors
2607,MAYUKH,Mayukh Dealtrade Ltd,XT,Distributors
2609,NAVIGANT,Navigant Corporate Advisors Ltd,M ,Other Financial Services
2610,GROVY,Grovy India Ltd,XT,Real Estate Investment
2611,ALKEM,Alkem Laboratories Ltd,A ,Pharmaceuticals
2612,LALPATHLAB,Dr. Lal PathLabs Ltd,A ,Healthcare Services
2613,SCTL,Suncare Traders Ltd,M ,Distributors
2615,LUXIND,Lux Industries Ltd,B ,Other Apparels &amp; Accessories
2616,ABHIINFRA,Abhishek Infraventures Ltd,XT,Realty
2617,NH,Narayana Hrudayalaya Ltd,B ,Healthcare Facilities
2618,FMEC,F Mec International Financial Services Ltd,XT,Finance (including NBFCs)
2619,DDIL,Deep Diamond India Ltd,XT,Other Apparels &amp; Accessories
2624,SIPTL,Sharanam Infraproject and Trading Ltd,XT,Comm.Trading  &amp; Distribution
2625,MISHTANN,Mishtann Foods Ltd,XT,Other Agricultural Products
2626,DELTA,Delta Industrial Resources Ltd,XT,Other Financial Services
2627,JSLHISAR,Jindal Stainless (Hisar) Ltd,B ,Iron &amp; Steel Products
2629,BLUECLOUDS,Blue Cloud Softech Solutions Ltd,XT,IT Software Products
2631,BCLENTERPR,BCL Enterprises Ltd,XT,Finance (including NBFCs)
2633,PRECAM,Precision Camshafts Ltd,B ,Auto Parts &amp; Equipment
2635,TEAMLEASE,TeamLease Services Ltd,B ,Sp.Consumer Services
2636,VIDLI,Vidli Restaurants Ltd,M ,Restaurants
2638,ACEMEN,Ace Men Engg Works Ltd,XT,Distributors
2639,RGF,RGF Capital Markets Ltd,XT,Finance (including NBFCs)
2640,RCL,Radhagobind Commercial Ltd,XT,Distributors
2641,QUICKHEAL,Quick Heal Technologies Ltd,B ,IT Software Products
2642,KAPILRAJ,Kapil Raj Finance Ltd,XT,Finance (including NBFCs)
2647,KPEL,K.P. Energy Ltd,M ,Electric Utilities
2648,IFINSER,Interactive Financial Services Ltd,XT,Finance (including NBFCs)
2650,GOKULAGRO,Gokul Agro Resources Ltd,T ,Edible Oils
2651,FREDUN,Fredun Pharmaceuticals Ltd,XT,Pharmaceuticals
2652,SIMBHALS,Simbhaoli Sugars Ltd,B ,Sugar
2653,RELICAB,Relicab Cable Manufacturing Ltd,M ,Other Elect.Equip./ Prod.
2654,VKAL,Vantage Knowledge Academy Ltd,XT,Education
2656,MNIL,Mega Nirman and Industries Ltd,XT,Realty
2657,DARJEELING,Darjeeling Ropeway Company Ltd,XT,Other Financial Services
2658,ADVIKCA,Advik Capital Ltd,XT,Finance (including NBFCs)
2659,PDMJEPAPER,Pudumjee Paper Products Ltd,B ,Paper &amp; Paper Products
2660,HCG,HealthCare Global Enterprises Ltd,B ,Healthcare Facilities
2661,KDML,Khemani Distributors &amp; Marketing Ltd,M ,Distributors
2662,UMIYA,Umiya Tubes Ltd,M ,Iron &amp; Steel Products
2663,BHARATWIRE,Bharat Wire Ropes Ltd,B ,Iron &amp; Steel Products
2664,CHDCHEM,CHD Chemicals Ltd,M ,Comm.Trading  &amp; Distribution
2665,INFIBEAM,Infibeam Incorporation Ltd,A ,Internet Software &amp; Services
2668,SUPERIOR,Superior Finlease Ltd,XT,Finance (including NBFCs)
2670,RPEL,Raghav Productivity Enhancers Ltd,M ,Mining
2672,LANCER,Lancer Container Lines Ltd,M ,Containers &amp; Packaging
2674,NINSYS,NINtec Systems Ltd,M ,IT Consulting &amp; Software
2677,HALDER,Halder Venture Ltd,XT,Other Agricultural Products
2678,SKIL,SKIL Infrastructure Ltd,T ,Construction &amp; Engineering
2680,THYROCARE,Thyrocare Technologies Ltd,B ,Healthcare Services
2681,BAJAJHCARE,Bajaj Healthcare Ltd,M ,Pharmaceuticals
2684,CROMPTON,Crompton Greaves Consumer Electricals Ltd,A ,Household Appliances
2685,PILANIINVS,Pilani Investment and Industries Corporation Ltd,T ,Holding Companies
